regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,Tanoo,-8.85107925999806e+16,4.23694439668789e+16,-4.45135253464797e+16,-8.85119031484906e+16,-8.85092564717606e+16,4.23692979274891e+16,4.23696457492639e+16,4.45130363558928e+16,4.45141116897829e+16,0.01575,1,0,0,1,1,1,0,0.858324,500007,1323338364984.0,3802,B
10000001,20000001,30000002,Lashesih,-1.03300968263126e+17,4.17075035682699e+16,-2.98563041297951e+16,-1.03301565089828e+17,-1.0329952828984e+17,4.17074675667278e+16,4.17075904134266e+16,2.9856173282507e+16,2.9856912011988e+16,0.01282,1,0,1,0,1,1,0,0.751689,500007,1018399993728.0,3798,B
10000001,20000001,30000003,Akpivem,-9.11741411330753e+16,4.39382274862472e+16,-5.64828243833399e+16,-9.11782873636035e+16,-9.11733406386052e+16,4.39381857193953e+16,4.39384441933804e+16,5.64812675379105e+16,5.64836557153905e+16,0.6213,1,0,0,1,0,0,0,0.846292,500007,2473362499136.0,3799,B
10000001,20000001,30000004,Jark,-9.36759263521789e+16,5.06042449623289e+16,-2.84035291069217e+16,-9.36773820850447e+16,-9.36754861508966e+16,5.06042017348087e+16,5.06043879147449e+16,2.84033083007049e+16,2.84068511253443e+16,0.3461,1,0,1,0,1,1,0,0.817001,500007,1771412319698.0,6,B
10000001,20000001,30000005,Sasta,-9.47821579619976e+16,4.31262473529033e+16,-3.1896707679918e+16,-9.47828662415355e+16,-9.47777383488237e+16,4.31261906057208e+16,4.31265976367388e+16,3.1892607357474e+16,3.1896947011689e+16,0.02403,1,0,0,1,0,0,0,0.814337,500007,2563946355912.0,3800,B
10000001,20000001,30000006,Zaid,-8.47921511388562e+16,5.23134557981793e+16,-5.70739345298823e+16,-8.479377331532e+16,-8.47903044314441e+16,5.23132435486263e+16,5.2313642323674e+16,5.70732534881294e+16,5.70755912232459e+16,0.02324,1,0,1,0,0,0,0,0.864229,500007,1734441937976.0,7,B
10000001,20000001,30000007,Yuzier,-9.03675090131102e+16,5.34477009309433e+16,-4.90403990377699e+16,-9.03684555898977e+16,-9.03658609773416e+16,5.34475873191983e+16,5.34478984944761e+16,4.90398364633128e+16,4.9040669843783e+16,0.01469,0,0,0,1,0,0,0,0.906556,500007,1297306278056.0,3800,B
10000001,20000001,30000008,Nirbhi,-9.15761035363885e+16,5.73328027393277e+16,-5.52550579645263e+16,-9.15795343022677e+16,-9.15743419252511e+16,5.73327758905019e+16,5.73328165227339e+16,5.52522194478972e+16,5.52596530446955e+16,0.03981,1,0,0,1,0,0,0,0.882116,500007,3716798399124.0,3800,B
10000001,20000002,30000009,Sooma,-8.40947311402152e+16,6.92059288041607e+16,-7.52260521388288e+16,-8.40957824832131e+16,-8.40929952959281e+16,6.92059200507117e+16,6.92059432718461e+16,7.52254640507815e+16,7.52291357093349e+16,0.01479,0,1,0,0,0,0,0,0.577819,500007,1835829276688.0,3800,B1
10000001,20000002,30000010,Chidah,-8.05888565201208e+16,6.16455572873768e+16,-7.97709316684619e+16,-8.05902078114442e+16,-8.05845392851849e+16,6.16453788306386e+16,6.1646127437224e+16,7.97691943811505e+16,7.97728102276548e+16,0.07498,0,0,0,1,0,0,0,0.539052,500007,2834263129672.0,8,B1
